slide_id,slide_type,forest,n,n_slide,n_runout,tp,tn,fp,fn,auc,auc_prob
19,2,1,5734,106,614.0,104,830,510,2,0.9452568692923522,0.9823280833031607
19,2,2,5734,106,614.0,104,830,510,2,0.9452568692923522,0.9823280833031607
19,2,3,5734,106,614.0,104,830,510,2,0.9452568692923522,0.9823280833031607
19,2,4,5734,106,614.0,104,830,510,2,0.9452568692923522,0.9823280833031607
19,2,5,5734,106,614.0,104,830,510,2,0.9452568692923522,0.9823280833031607
19,3,0,5734,106,216.0,92,1216,124,14,0.9229459173137011,0.930358316235534
19,3,1,5734,106,216.0,92,1216,124,14,0.9229459173137011,0.930358316235534
19,3,2,5734,106,216.0,92,1216,124,14,0.9229459173137011,0.930358316235534
19,3,3,5734,106,216.0,92,1216,124,14,0.9229459173137011,0.930358316235534
19,3,4,5734,106,216.0,92,1216,124,14,0.9229459173137011,0.930358316235534
19,3,5,5734,106,216.0,92,1216,124,14,0.9229459173137011,0.930358316235534
2,0,0,8385,160,1956.0,160,506,1796,0,0.8908206686930091,0.9942674772036475
2,0,1,8385,160,1938.0,160,524,1778,0,0.8919148936170213,0.9943206686930091
2,0,2,8385,160,1938.0,160,524,1778,0,0.8919148936170213,0.9943206686930091
2,0,3,8385,160,1938.0,160,524,1778,0,0.8919148936170213,0.9943206686930091
2,0,4,8385,160,1956.0,160,506,1796,0,0.8908206686930091,0.9942674772036475
2,0,5,8385,160,1956.0,160,506,1796,0,0.8908206686930091,0.9942674772036475
2,1,0,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738799392097264
2,1,1,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738761398176291
2,1,2,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738761398176291
2,1,3,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738761398176291
2,1,4,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738799392097264
2,1,5,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738799392097264
2,2,0,8385,160,408.0,138,2032,270,22,0.9148366261398176,0.9266595744680851
2,2,1,8385,160,397.0,138,2043,259,22,0.9155053191489362,0.9267895136778116
2,2,2,8385,160,397.0,138,2043,259,22,0.9155053191489362,0.9267895136778116
2,2,3,8385,160,397.0,138,2043,259,22,0.9155053191489362,0.9267895136778116
2,2,4,8385,160,408.0,138,2032,270,22,0.9148366261398176,0.9266595744680851
2,2,5,8385,160,408.0,138,2032,270,22,0.9148366261398176,0.9266595744680851
2,3,0,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738693009118541
2,3,1,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738674012158054
2,3,2,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738674012158054
2,3,3,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738674012158054
2,3,4,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738693009118541
2,3,5,8385,160,149.0,120,2273,29,40,0.8732370820668692,0.8738693009118541
20,0,0,4588,107,1052.0,107,381,945,0,0.8945547868779291,0.9897646761925222
20,0,1,4588,107,1052.0,107,381,945,0,0.8945547868779291,0.9897657190171587
20,0,2,4588,107,1052.0,107,381,945,0,0.8945547868779291,0.9897657190171587
20,0,3,4588,107,1052.0,107,381,945,0,0.8945547868779291,0.9897657190171587
20,0,4,4588,107,1052.0,107,381,945,0,0.8945547868779291,0.9897646761925222
20,0,5,4588,107,1052.0,107,381,945,0,0.8945547868779291,0.9897646761925222
20,1,0,4588,107,305.0,98,1119,207,9,0.9348464023592864,0.9465729653969929
20,1,1,4588,107,305.0,98,1119,207,9,0.9348464023592864,0.9465729653969929
20,1,2,4588,107,305.0,98,1119,207,9,0.9348464023592864,0.9465729653969929
20,1,3,4588,107,305.0,98,1119,207,9,0.9348464023592864,0.9465729653969929
20,1,4,4588,107,305.0,98,1119,207,9,0.9348464023592864,0.9465729653969929
20,1,5,4588,107,305.0,98,1119,207,9,0.9348464023592864,0.9465729653969929
